                             task_name                              |        time         | task_time_estimate 
--------------------------------------------------------------------+---------------------+--------------------
 Night                                                              | 30 days 130:35:40.9 |                   
 Rec Web                                                            | 132:00:50           |                   
 Other Break                                                        | 71:19:15            |                   
 Misc Tech Reading                                                  | 44:58:39            |                   
 Explain Starlog Transforms                                         | 40:42:04            |                  5
 TV                                                                 | 21:15:40            |                   
 Mornings                                                           | 20:13:02            |                   
 Dinner                                                             | 17:49:07            |                   
 Check program with stinterpret                                     | 16:17:55            |                   
 crud functionality + reseach sql alch                              | 12:23:58            |                   
 Autotuning Sec                                                     | 09:09:48            |                  3
 Tidy Up Pascal Program                                             | 08:11:00            |                   
 add time graph                                                     | 07:59:49            |                   
 Think                                                              | 07:09:03            |                   
 Pre Experiment Plan/Prep/Setup                                     | 06:58:41            |                  1
 Write Up Eager FC                                                  | 06:47:48            |                  3
 Communication With Mark                                            | 06:38:57            |                   
 Weekly Schedule Image (using pic)                                  | 06:35:59            |                 10
 Add Tranformed Prog                                                | 06:30:57            |                   
 Parallel Pattern Eval Strategies                                   | 06:07:02            |                  7
 Eager FC Analysis                                                  | 05:47:08            |                   
 Phone                                                              | 05:29:04            |                   
 Reorganise Material                                                | 05:10:01            |                   
 Improve Task Entry Combobox                                        | 05:05:59            |                   
 Revamp Admin Organisation                                          | 04:59:59            |                  2
 Fix Problems Mark Identified                                       | 04:35:03            |                   
 Data Distribution/Locality Management                              | 04:24:00            |                   
 Pascal Example                                                     | 04:12:00            |                   
 Add Status Filters                                                 | 04:07:58            |                   
 Jogging                                                            | 04:01:02            |                   
 Visit Friends                                                      | 03:47:03            |                   
 Cooking                                                            | 03:45:03            |                   
 Walk                                                               | 03:44:59            |                   
 Gather and Design                                                  | 03:34:59            |                   
 Fosters Comm Sec                                                   | 03:26:59            |                  2
 Window Size Writeup                                                | 03:14:00            |                   
 Shopping                                                           | 03:02:54            |                   
 Add word count graph                                               | 02:53:58            |                   
 Misc (don't use this)                                              | 02:52:14            |                   
 time summary SP                                                    | 02:49:24            |                   
 HPCS Background                                                    | 02:48:02            |                   
 #Timesheet Entry                                                   | 02:48:01            |                   
 Audio Notes                                                        | 02:41:58            |                  7
 Fosters Agglo Sec                                                  | 02:39:59            |                  4
 Week Planner                                                       | 02:32:33            |                   
 Goals/Hypothsis 2) Gather/Design                                   | 02:31:58            |                   
 Pascal Halo Stuff                                                  | 02:24:57            |                1.5
 create                                                             | 02:07:02            |                   
 Writing                                                            | 02:06:40            |                   
 Walking                                                            | 02:03:01            |                   
 Time Block Adder Quickkeys+ Other Adjustments                      | 01:59:00            |                   
 Jogging Tracker                                                    | 01:58:00            |                   
 To/From Uni                                                        | 01:50:20            |                   
 #Process Inbox                                                     | 01:50:01            |                   
 Goals/Hypothsis 1) Initial Think                                   | 01:47:02            |                   
 Load Data into Postgres                                            | 01:45:01            |                  8
 Test TotD                                                          | 01:43:57            |                   
 Time Estimates                                                     | 01:42:00            |                  3
 Fix Basic Defects                                                  | 01:41:59            |                   
 Other                                                              | 01:40:36            |                   
 General Org                                                        | 01:36:59            |                   
